driver_id,passenger_id,distance_to_pickup_km,estimated_pickup_time_mins,traffic_factor,base_fare,base_trip_fare,market_surge_factor,surge_fee,passenger_tip,driver_multiplier_bonus,total_passenger_payment,total_driver_earnings,effective_multiplier,compatibility_score,is_long_distance_pickup,event_awareness_score,driver_location,passenger_pickup_location,passenger_destination_location,driver_coin_multiplier,is_towards_home
3ec82932-7914-46c2-acd6-b7559b033191,b8b908d0-d618-4075-b270-6326eadc696b,10.66,93.9,2.94,30,501.0,1.17,83.05,50,0.0,634.05,634.05,1.27,35.0,True,22.0,Hennur,Chickpet,Anekal,1.0,True
a1d8b7b3-8213-4999-98b7-6afc362e8517,885c14e0-0c76-475a-85a7-be2ee20368fc,42.3,235.95,1.86,30,118.95,1.0,0.0,0,0.0,118.95,118.95,1.0,38.43,True,0.0,Magadi,Madiwala,Padmanabhanagar,1.0,True
abfdc16c-821d-47c5-9369-fa6fde684e0f,f462beaf-70b5-4f67-bc85-c0f1c6f2b307,6.53,36.4,1.86,30,209.1,1.0,0.0,30,0.0,239.1,239.1,1.14,70.88,True,0.0,Mysore Road,Jayanagar,CV Raman Nagar,1.0,True
5ae1297f-22e0-4028-87e5-e230b30d7038,05f31cf5-b216-4e0e-bba0-8df5accea42d,2.32,8.99,1.29,30,275.85,1.47,129.69,0,0.0,405.54,405.54,1.47,100.0,False,0.0,Govindraj Nagar,Govindraj Nagar,Marathahalli,1.0,True
27c5d9c5-1572-404d-92c7-f3d8da647e2b,befbe00e-f083-46e1-b4ae-03013147df5e,21.56,168.12,2.6,30,552.45,1.42,229.87,0,0.0,782.32,782.32,1.42,32.8,True,0.0,Byatarayanapura,Bannerghatta,Ramanagaram,1.0,False
259f38fb-7fa9-4284-bc0f-86116a0d72f0,03f80925-2a29-40d4-b33d-75b3fbc82b06,29.99,124.45,1.38,30,563.1,1.4,224.62,50,0.0,837.72,837.72,1.49,59.6,True,0.0,Devanahalli,Mahalakshmi Layout,Magadi,1.0,False
aaafbb0b-3063-45dc-8c3e-c3cb764362ed,a83343c2-88bd-449f-ac9c-9c501b07acba,2.14,6.82,1.06,30,543.15,1.0,0.0,0,0.0,543.15,543.15,1.0,100.0,False,0.0,Govindraj Nagar,Rajaji Nagar,Anekal,1.0,False
8bc1c529-13e3-456f-88d8-25d6bf9c8551,7042d020-ad58-4453-8bd8-caaec487d077,29.79,75.72,0.85,30,109.5,1.0,0.0,20,27.38,129.5,156.88,1.43,85.0,True,0.0,Hoskote,Dasarahalli,Mekhri Circle,1.25,True
f97034fe-51fe-4b1a-ad45-b2080a9aed09,a87f599d-e5cb-433b-bdf5-fb13597ba203,28.3,94.71,1.12,30,475.2,1.0,0.0,0,0.0,475.2,475.2,1.0,35.0,True,0.0,Mekhri Circle,Devanahalli,Whitefield,1.0,False
d4346980-1f19-4d64-9ba5-071d1bbfcfec,a61974ce-e5a2-40ed-bb05-2671642fefda,13.38,77.15,1.92,30,601.5,1.0,0.0,0,150.38,601.5,751.88,1.25,14.7,True,0.0,JP Nagar,CV Raman Nagar,Doddaballapur,1.25,True
4726631e-cd35-4ff2-be92-e2fa9e7e8f64,dce3b877-443e-4605-9281-16748fffc59d,31.87,165.43,1.73,30,198.0,1.26,51.89,30,0.0,279.89,279.89,1.41,81.19,True,0.0,Magadi,Rajarajeshwarinagar,Bommanahalli,1.0,True
07d0a715-f73b-49c7-8d1a-4ba91c250b6a,3797da63-6a4b-4278-a508-222eb99a0373,23.93,124.54,1.73,30,743.85,1.0,0.0,10,185.96,753.85,939.81,1.26,20.9,True,0.0,Whitefield,Mysore Road,Kanakapura,1.25,False
688cf47b-2a92-4ec9-af8b-8e1977058744,fb4d7291-d291-4de6-b67c-9d629c52f037,37.36,184.12,1.64,30,447.0,1.24,105.24,0,0.0,552.24,552.24,1.24,47.82,True,0.0,Doddaballapur,Hoskote,Jayanagar,1.0,True
27f61be3-a51f-453c-b43a-f6c8df34d849,3829c710-b975-4be4-9102-abada111aa8b,30.25,146.57,1.61,30,682.35,1.16,105.93,30,0.0,818.28,818.28,1.2,68.1,True,0.0,Dasarahalli,Doddaballapur,HSR Layout,1.0,True
2d707582-ef5e-4318-bece-d98ebf0a11af,f93b2a19-1424-4a8b-b49b-9487b7ef5d7c,8.69,58.28,2.24,30,473.7,1.22,105.94,30,0.0,609.64,609.64,1.29,43.35,True,0.0,Mysore Road,Yeshwantpur,Devanahalli,1.0,False
5f7395e8-5136-49ba-98af-d87312c9f4f2,c8bd6776-9f4f-4698-a038-1990a0871e60,5.12,39.06,2.54,30,369.75,1.46,169.06,0,0.0,538.81,538.81,1.46,73.02,True,0.0,Jayanagar,Chamrajpet,Nelamangala,1.0,True
a00837d2-0a14-437c-9031-9e5b278a3def,47a3896c-f186-4259-bfe1-8f68ae078c72,31.32,102.75,1.09,30,756.0,1.2,152.24,10,0.0,918.24,918.24,1.21,98.8,True,0.0,Hoskote,Bannerghatta,Channapatna,1.0,True
cd5bf812-dfce-41ea-bdba-57ac6a9c2bf7,74444a00-eb2f-47f4-9e44-e0eff960627b,14.19,82.55,1.94,30,861.45,1.42,363.24,10,0.0,1234.69,1234.69,1.43,42.46,True,0.0,Bannerghatta,Malleshwaram,Channapatna,1.0,False
b35a0491-9bda-4219-9127-54cd99baedef,dad5e977-1c2c-4863-a72e-ab660ee67586,8.31,76.65,3.08,30,185.85,1.61,112.84,0,0.0,298.69,298.69,1.61,13.27,True,53.0,Shivajinagar,HSR Layout,Sarvagnanagar,1.0,False
93562506-732e-4208-9cd3-f659cef484a3,4bcdeb63-63a1-4182-8154-d724ebbdeb43,0.75,4.02,1.8,30,68.4,1.72,49.34,20,0.0,137.74,137.74,2.01,100.0,False,94.0,Chickpet,Chickpet,Jayanagar,1.0,True
fe2e7cc3-f314-4a24-b8e9-8c309a349515,91efec4b-15da-4131-af6d-57bcff24fe34,2.19,14.27,2.17,30,176.55,1.2,35.06,0,0.0,211.61,211.61,1.2,75.0,False,0.0,Yeshwantpur,Malleshwaram,Padmanabhanagar,1.0,True
